id	image	draft_board	unknown_squares
107	src/assets/diagrams/image107.png	r4?k?/ppp5/3b1p1?/2p1p1p1/4P3/3P1P??/PPP2P2/R4?K?	f8,h8,h6,g3,h3,f1,h1
108	src/assets/diagrams/image108.png	?2?2k?/pp3ppp/3?4/4P3/3n4/1?6/1P3PPP/??3?K?	a8,d8,h8,d6,b3,a1,b1,f1,h1
109	src/assets/diagrams/image109.png	?5b?/6?1/6p1/1B3p2/1p3P1?/6P1/5?1P/??5?	a8,h8,g7,h4,f2,a1,b1,h1
110	src/assets/diagrams/image110.png	?1k4?/?1p5/3p4/pPpPp1pp/?1P1Pp2/?4Pb?/??4P1/?6?	a8,h8,a7,a4,a3,h3,a2,b2,a1,h1
111	src/assets/diagrams/image111.png	?2?3?/1?2p3/?2p1p2/??p1PPp1/1p1P2P?/p1P4?/PP1?4/?2?3?	a8,d8,h8,b7,a6,a5,b5,h4,h3,d2,a1,d1,h1
112	src/assets/diagrams/image112.png	r1b1k?1r/5p1p/2np4/1N1Npp?1/4P3/8/PPP2PPP/R2QK2R	f8,g5
113	src/assets/diagrams/image113.png	?2?3r/1??4p/7?/2?5/3pP3/8/PPP?1PPP/?1K?3R	a8,d8,b7,c7,h6,c5,d2,a1,d1
114	src/assets/diagrams/image114.png	??bq1?k?/1p4bp/?2p2p1/2pPnp1?/P3PP2/?1?3P?/1P4B?/R1BQ1?1?	a8,b8,f8,h8,a6,h5,a3,c3,h3,h2,f1,h1
115	src/assets/diagrams/image115.png	?6?/1?6/?7/8/3?1P2/?7/2P5/?3K2?	a8,h8,b7,a6,d4,a3,a1,h1
116	src/assets/diagrams/image116.png	r3??1?/2p?2p1/5n1?/?p3p2/2PPpP1P/2?nP1P1/3N2?1/?2N2K?	e8,f8,h8,d7,h6,a5,c3,g2,a1,h1
